2019-11-27 09:38:58 install libpam-modules-bin:armhf <none> 1.3.1-5ubuntu1
2019-11-27 09:38:58 status half-installed libpam-modules-bin:armhf 1.3.1-5ubuntu1
2019-11-27 09:38:58 status unpacked libpam-modules-bin:armhf 1.3.1-5ubuntu1
2019-11-27 09:38:58 install libpam-runtime:all <none> 1.3.1-5ubuntu1
2019-11-27 09:38:58 status half-installed libpam-runtime:all 1.3.1-5ubuntu1
2019-11-27 09:38:58 status unpacked libpam-runtime:all 1.3.1-5ubuntu1
2019-11-27 09:38:58 install libpam0g:armhf <none> 1.3.1-5ubuntu1
2019-11-27 09:38:58 status half-installed libpam0g:armhf 1.3.1-5ubuntu1
2019-11-27 09:38:58 status unpacked libpam0g:armhf 1.3.1-5ubuntu1
2019-11-27 09:38:58 install libpcre3:armhf <none> 2:8.39-12
2019-11-27 09:38:58 status half-installed libpcre3:armhf 2:8.39-12
2019-11-27 09:38:58 status unpacked libpcre3:armhf 2:8.39-12
2019-11-27 09:38:58 install libprocps7:armhf <none> 2:3.3.15-2ubuntu2
2019-11-27 09:38:58 status half-installed libprocps7:armhf 2:3.3.15-2ubuntu2
2019-11-27 09:38:58 status unpacked libprocps7:armhf 2:3.3.15-2ubuntu2
2019-11-27 09:38:58 install libselinux1:armhf <none> 2.8-1build2
2019-11-27 09:38:58 status half-installed libselinux1:armhf 2.8-1build2
2019-11-27 09:38:58 status unpacked libselinux1:armhf 2.8-1build2
2019-11-27 09:38:58 install libsemanage-common:all <none> 2.8-2
2019-11-27 09:38:58 status half-installed libsemanage-common:all 2.8-2
2019-11-27 09:38:58 status unpacked libsemanage-common:all 2.8-2
2019-11-27 09:38:58 install libsemanage1:armhf <none> 2.8-2
2019-11-27 09:38:58 status half-installed libsemanage1:armhf 2.8-2
2019-11-27 09:38:58 status unpacked libsemanage1:armhf 2.8-2
2019-11-27 09:38:58 install libsepol1:armhf <none> 2.8-1
2019-11-27 09:38:58 status half-installed libsepol1:armhf 2.8-1
2019-11-27 09:38:58 status unpacked libsepol1:armhf 2.8-1
2019-11-27 09:38:58 install libsmartcols1:armhf <none> 2.33.1-0.1ubuntu2
2019-11-27 09:38:58 status half-installed libsmartcols1:armhf 2.33.1-0.1ubuntu2
2019-11-27 09:38:58 status unpacked libsmartcols1:armhf 2.33.1-0.1ubuntu2
2019-11-27 09:38:58 install libss2:armhf <none> 1.44.6-1
2019-11-27 09:38:58 status half-installed libss2:armhf 1.44.6-1
2019-11-27 09:38:58 status unpacked libss2:armhf 1.44.6-1
2019-11-27 09:38:58 install libsystemd0:armhf <none> 240-6ubuntu5
2019-11-27 09:38:58 status half-installed libsystemd0:armhf 240-6ubuntu5
2019-11-27 09:38:58 status unpacked libsystemd0:armhf 240-6ubuntu5
2019-11-27 09:38:58 install libtinfo6:armhf <none> 6.1+20181013-2ubuntu2
2019-11-27 09:38:58 status half-installed libtinfo6:armhf 6.1+20181013-2ubuntu2
2019-11-27 09:38:58 status unpacked libtinfo6:armhf 6.1+20181013-2ubuntu2
2019-11-27 09:38:58 install libudev1:armhf <none> 240-6ubuntu5
2019-11-27 09:38:58 status half-installed libudev1:armhf 240-6ubuntu5
2019-11-27 09:38:58 status unpacked libudev1:armhf 240-6ubuntu5
2019-11-27 09:38:58 install libuuid1:armhf <none> 2.33.1-0.1ubuntu2
2019-11-27 09:38:58 status half-installed libuuid1:armhf 2.33.1-0.1ubuntu2
2019-11-27 09:38:59 status unpacked libuuid1:armhf 2.33.1-0.1ubuntu2
2019-11-27 09:38:59 install libzstd1:armhf <none> 1.3.8+dfsg-3
2019-11-27 09:38:59 status half-installed libzstd1:armhf 1.3.8+dfsg-3
2019-11-27 09:38:59 status unpacked libzstd1:armhf 1.3.8+dfsg-3
2019-11-27 09:38:59 install login:armhf <none> 1:4.5-1.1ubuntu2
2019-11-27 09:38:59 status half-installed login:armhf 1:4.5-1.1ubuntu2
2019-11-27 09:38:59 status unpacked login:armhf 1:4.5-1.1ubuntu2
2019-11-27 09:38:59 install lsb-base:all <none> 10.2019031300ubuntu1
2019-11-27 09:38:59 status half-installed lsb-base:all 10.2019031300ubuntu1
2019-11-27 09:38:59 status unpacked lsb-base:all 10.2019031300ubuntu1
2019-11-27 09:38:59 upgrade mawk:armhf 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2019-11-27 09:38:59 status half-configured mawk:armhf 1.3.3-17ubuntu3
2019-11-27 09:38:59 status unpacked mawk:armhf 1.3.3-17ubuntu3
2019-11-27 09:38:59 status half-installed mawk:armhf 1.3.3-17ubuntu3
2019-11-27 09:38:59 status unpacked mawk:armhf 1.3.3-17ubuntu3
2019-11-27 09:38:59 install mount:armhf <none> 2.33.1-0.1ubuntu2
2019-11-27 09:38:59 status half-installed mount:armhf 2.33.1-0.1ubuntu2
2019-11-27 09:38:59 status unpacked mount:armhf 2.33.1-0.1ubuntu2
2019-11-27 09:38:59 install ncurses-base:all <none> 6.1+20181013-2ubuntu2
2019-11-27 09:38:59 status half-installed ncurses-base:all 6.1+20181013-2ubuntu2
2019-11-27 09:38:59 status unpacked ncurses-base:all 6.1+20181013-2ubuntu2
2019-11-27 09:38:59 install ncurses-bin:armhf <none> 6.1+20181013-2ubuntu2
2019-11-27 09:38:59 status half-installed ncurses-bin:armhf 6.1+20181013-2ubuntu2
2019-11-27 09:38:59 status unpacked ncurses-bin:armhf 6.1+20181013-2ubuntu2
2019-11-27 09:38:59 install passwd:armhf <none> 1:4.5-1.1ubuntu2
2019-11-27 09:38:59 status half-installed passwd:armhf 1:4.5-1.1ubuntu2
2019-11-27 09:38:59 status unpacked passwd:armhf 1:4.5-1.1ubuntu2
2019-11-27 09:38:59 upgrade perl-base:armhf 5.28.1-6 5.28.1-6
2019-11-27 09:38:59 status half-configured perl-base:armhf 5.28.1-6
2019-11-27 09:38:59 status unpacked perl-base:armhf 5.28.1-6
2019-11-27 09:38:59 status half-installed perl-base:armhf 5.28.1-6
2019-11-27 09:39:00 status unpacked perl-base:armhf 5.28.1-6
2019-11-27 09:39:00 install procps:armhf <none> 2:3.3.15-2ubuntu2
2019-11-27 09:39:00 status half-installed procps:armhf 2:3.3.15-2ubuntu2
2019-11-27 09:39:00 status unpacked procps:armhf 2:3.3.15-2ubuntu2
2019-11-27 09:39:00 install sed:armhf <none> 4.7-1
2019-11-27 09:39:00 status half-installed sed:armhf 4.7-1
2019-11-27 09:39:00 status unpacked sed:armhf 4.7-1
2019-11-27 09:39:00 install sensible-utils:all <none> 0.0.12
2019-11-27 09:39:00 status half-installed sensible-utils:all 0.0.12
2019-11-27 09:39:00 status unpacked sensible-utils:all 0.0.12
2019-11-27 09:39:00 install sysvinit-utils:armhf <none> 2.88dsf-59.10ubuntu2
2019-11-27 09:39:00 status half-installed sysvinit-utils:armhf 2.88dsf-59.10ubuntu2
2019-11-27 09:39:00 status unpacked sysvinit-utils:armhf 2.88dsf-59.10ubuntu2
2019-11-27 09:39:00 install tar:armhf <none> 1.30+dfsg-5
2019-11-27 09:39:00 status half-installed tar:armhf 1.30+dfsg-5
2019-11-27 09:39:00 status unpacked tar:armhf 1.30+dfsg-5
2019-11-27 09:39:00 install util-linux:armhf <none> 2.33.1-0.1ubuntu2
2019-11-27 09:39:00 status half-installed util-linux:armhf 2.33.1-0.1ubuntu2
2019-11-27 09:39:01 status unpacked util-linux:armhf 2.33.1-0.1ubuntu2
2019-11-27 09:39:01 install zlib1g:armhf <none> 1:1.2.11.dfsg-1ubuntu2
2019-11-27 09:39:01 status half-installed zlib1g:armhf 1:1.2.11.dfsg-1ubuntu2
2019-11-27 09:39:01 status unpacked zlib1g:armhf 1:1.2.11.dfsg-1ubuntu2
2019-11-27 09:39:01 startup packages configure
2019-11-27 09:39:01 configure lsb-base:all 10.2019031300ubuntu1 <none>
2019-11-27 09:39:01 status unpacked lsb-base:all 10.2019031300ubuntu1
2019-11-27 09:39:01 status half-configured lsb-base:all 10.2019031300ubuntu1
2019-11-27 09:39:01 status installed lsb-base:all 10.2019031300ubuntu1
2019-11-27 09:39:01 configure libaudit-common:all 1:2.8.3-1ubuntu3 <none>
2019-11-27 09:39:01 status unpacked libaudit-common:all 1:2.8.3-1ubuntu3
2019-11-27 09:39:01 status half-configured libaudit-common:all 1:2.8.3-1ubuntu3
2019-11-27 09:39:01 status installed libaudit-common:all 1:2.8.3-1ubuntu3
2019-11-27 09:39:01 configure libsemanage-common:all 2.8-2 <none>
2019-11-27 09:39:01 status unpacked libsemanage-common:all 2.8-2
2019-11-27 09:39:01 status half-configured libsemanage-common:all 2.8-2
2019-11-27 09:39:01 status installed libsemanage-common:all 2.8-2
2019-11-27 09:39:01 configure ncurses-base:all 6.1+20181013-2ubuntu2 <none>
2019-11-27 09:39:01 status unpacked ncurses-base:all 6.1+20181013-2ubuntu2
2019-11-27 09:39:01 status half-configured ncurses-base:all 6.1+20181013-2ubuntu2
2019-11-27 09:39:01 status installed ncurses-base:all 6.1+20181013-2ubuntu2
2019-11-27 09:39:01 configure sensible-utils:all 0.0.12 <none>
2019-11-27 09:39:01 status unpacked sensible-utils:all 0.0.12
2019-11-27 09:39:01 status half-configured sensible-utils:all 0.0.12
2019-11-27 09:39:01 status installed sensible-utils:all 0.0.12
2019-11-27 09:39:01 configure gcc-9-base:armhf 9-20190402-1ubuntu1 <none>
2019-11-27 09:39:01 status unpacked gcc-9-base:armhf 9-20190402-1ubuntu1
2019-11-27 09:39:01 status half-configured gcc-9-base:armhf 9-20190402-1ubuntu1
2019-11-27 09:39:01 status installed gcc-9-base:armhf 9-20190402-1ubuntu1
